LevelNumber,ParentItem,ParentDescription,ComponentItem,ComponentDescription,QuantityPerParent,UofM,ExtendedQuantity,BomName
1,SOARBLM00,Soar Bloom Spray                                                                                     ,CHEGLUCO,Sodium Glucoheptonate  (Plus Freight)                                                                ,1.62000,LBS,1.6200000000,
1,SOARBLM00,Soar Bloom Spray                                                                                     ,CHEGLUCO,Sodium Glucoheptonate  (Plus Freight)                                                                ,1.62000,LBS,1.6200000000,USING MAG 6.0%
1,SOARBLM00,Soar Bloom Spray                                                                                     ,CHEGLUCO,Sodium Glucoheptonate  (Plus Freight)                                                                ,0.56160,LBS,0.5616000000,W EXTRA MG
1,SOARBLM00,Soar Bloom Spray                                                                                     ,CHEGLUCO,Sodium Glucoheptonate  (Plus Freight)                                                                ,1.47960,LBS,1.4796000000,EXTRA HUMIC
1,SOARBLM00,Soar Bloom Spray                                                                                     ,CHEGLUCO,Sodium Glucoheptonate  (Plus Freight)                                                                ,1.62000,LBS,1.6200000000,CN9
1,SOARBLM00,Soar Bloom Spray                                                                                     ,CHEGLUCO,Sodium Glucoheptonate  (Plus Freight)                                                                ,1.62000,LBS,1.6200000000,MO AND B PREMIX
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,0.04320,LBS,0.0432000000,MO AND B PREMIX
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,0.04320,LBS,0.0432000000,CN9
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,0.04136,LBS,0.0413600000,EXTRA HUMIC
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,0.04320,LBS,0.0432000000,W EXTRA MG
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,0.04320,LBS,0.0432000000,W EXTRA GLUCO
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,0.04320,LBS,0.0432000000,USING MAG 6.0%
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,0.04320,LBS,0.0432000000,
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPHUMICLIQ,Humic Acid Liquid-Borresol 22%                                                                       ,0.27000,LBS,0.2700000000,USING MAG 6.0%
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPHUMICLIQ,Humic Acid Liquid-Borresol 22%                                                                       ,0.27000,LBS,0.2700000000,
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPHUMICLIQ,Humic Acid Liquid-Borresol 22%                                                                       ,0.27000,LBS,0.2700000000,W EXTRA GLUCO
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPHUMICLIQ,Humic Acid Liquid-Borresol 22%                                                                       ,0.09450,LBS,0.0945000000,W EXTRA MG
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPHUMICLIQ,Humic Acid Liquid-Borresol 22%                                                                       ,0.27000,LBS,0.2700000000,CN9
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPHUMICLIQ,Humic Acid Liquid-Borresol 22%                                                                       ,0.27000,LBS,0.2700000000,MO AND B PREMIX
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPSEAEX,Soluble Seaweed Extract                                                                              ,0.86400,LBS,0.8640000000,CN9
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPSEAEX,Soluble Seaweed Extract                                                                              ,0.86400,LBS,0.8640000000,MO AND B PREMIX
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPSEAEX,Soluble Seaweed Extract                                                                              ,0.79056,LBS,0.7905600000,EXTRA HUMIC
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPSEAEX,Soluble Seaweed Extract                                                                              ,0.86400,LBS,0.8640000000,
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPSEAEX,Soluble Seaweed Extract                                                                              ,0.86400,LBS,0.8640000000,USING MAG 6.0%
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPSEAEX,Soluble Seaweed Extract                                                                              ,0.30240,LBS,0.3024000000,W EXTRA MG
1,SOARBLM00,Soar Bloom Spray                                                                                     ,GRPSEAEX,Soluble Seaweed Extract                                                                              ,0.14580,LBS,0.1458000000,W EXTRA GLUCO
1,SOARBLM00,Soar Bloom Spray                                                                                     ,H2OCOLD,Cold Water                                                                                           ,1.63084,LBS,1.6308400000,EXTRA HUMIC
1,SOARBLM00,Soar Bloom Spray                                                                                     ,H2OCOLD,Cold Water                                                                                           ,0.29060,LBS,0.2906000000,W EXTRA GLUCO
1,SOARBLM00,Soar Bloom Spray                                                                                     ,H2OCOLD,Cold Water                                                                                           ,2.11070,LBS,2.1107000000,
1,SOARBLM00,Soar Bloom Spray                                                                                     ,H2OCOLD,Cold Water                                                                                           ,1.67940,LBS,1.6794000000,USING MAG 6.0%
1,SOARBLM00,Soar Bloom Spray                                                                                     ,H2OCOLD,Cold Water                                                                                           ,0.78408,LBS,0.7840800000,W EXTRA MG
1,SOARBLM00,Soar Bloom Spray                                                                                     ,H2OCOLD,Cold Water                                                                                           ,1.78130,LBS,1.7813000000,CN9
1,SOARBLM00,Soar Bloom Spray                                                                                     ,H2OCOLD,Cold Water                                                                                           ,0.09720,LBS,0.0972000000,MO AND B PREMIX
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3CA,Calcium Nitrate 11% / CN9                                                                            ,3.79620,LBS,3.7962000000,EXTRA HUMIC
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3CA,Calcium Nitrate 11% / CN9                                                                            ,3.95820,LBS,3.9582000000,CN9
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3CA,Calcium Nitrate 11% / CN9                                                                            ,3.96360,LBS,3.9636000000,USING MAG 6.0%
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3CA,Calcium Nitrate 11% / CN9                                                                            ,1.27170,LBS,1.2717000000,W EXTRA MG
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3CA,Calcium Nitrate 11% / CN9                                                                            ,3.95820,LBS,3.9582000000,W EXTRA GLUCO
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3CA12,Calcium Nitrate 12%                                                                                  ,3.62880,LBS,3.6288000000,
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3CA12,Calcium Nitrate 12%                                                                                  ,3.62880,LBS,3.6288000000,MO AND B PREMIX
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3MG60,Magnesium Nitrate 6%                                                                                 ,1.81980,LBS,1.8198000000,USING MAG 6.0%
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3MG63,Magnesium Nitrate 6.3%                                                                               ,1.73340,LBS,1.7334000000,
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3MG63,Magnesium Nitrate 6.3%                                                                               ,1.73340,LBS,1.7334000000,W EXTRA GLUCO
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3MG63,Magnesium Nitrate 6.3%                                                                               ,1.73340,LBS,1.7334000000,MO AND B PREMIX
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3MG63,Magnesium Nitrate 6.3%                                                                               ,0.31050,LBS,0.3105000000,W EXTRA MG
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3MG63,Magnesium Nitrate 6.3%                                                                               ,1.73340,LBS,1.7334000000,CN9
1,SOARBLM00,Soar Bloom Spray                                                                                     ,NO3MG63,Magnesium Nitrate 6.3%                                                                               ,1.65780,LBS,1.6578000000,EXTRA HUMIC
1,SOARBLM00,Soar Bloom Spray                                                                                     ,PMX1303-0115,Soar Bloom B and Mo Premix                                                                           ,7.24680,LBS,7.2468000000,W EXTRA MG
1,SOARBLM00,Soar Bloom Spray                                                                                     ,PMX1303-0115,Soar Bloom B and Mo Premix                                                                           ,2.54340,LBS,2.5434000000,MO AND B PREMIX
1,SOARBLM00,Soar Bloom Spray                                                                                     ,PMX1406-0002,Off Spec Calcium Nitrate                                                                             ,0.91800,LBS,0.9180000000,EXTRA HUMIC
1,SOARBLM00,Soar Bloom Spray                                                                                     ,PMY1311-0347,Iron Nitrate 6.3% Premix                                                                             ,4.27140,LBS,4.2714000000,W EXTRA GLUCO
1,SOARBLM00,Soar Bloom Spray                                                                                     ,SO4BORON,Boron                                                                                                ,0.08640,LBS,0.0864000000,W EXTRA GLUCO
1,SOARBLM00,Soar Bloom Spray                                                                                     ,SO4BORON,Boron                                                                                                ,0.48060,LBS,0.4806000000,EXTRA HUMIC
1,SOARBLM00,Soar Bloom Spray                                                                                     ,SO4BORON,Boron                                                                                                ,0.18360,LBS,0.1836000000,W EXTRA MG
1,SOARBLM00,Soar Bloom Spray                                                                                     ,SO4BORON,Boron                                                                                                ,0.53460,LBS,0.5346000000,USING MAG 6.0%
1,SOARBLM00,Soar Bloom Spray                                                                                     ,SO4BORON,Boron                                                                                                ,0.52439,LBS,0.5243900000,
1,SOARBLM00,Soar Bloom Spray                                                                                     ,SO4BORON,Boron                                                                                                ,0.52439,LBS,0.5243900000,CN9
1,SOARBLM00,Soar Bloom Spray                                                                                     ,SO4MOLY,Moly 39.6%                                                                                           ,0.00551,LBS,0.0055100000,CN9
1,SOARBLM00,Soar Bloom Spray                                                                                     ,SO4MOLY,Moly 39.6%                                                                                           ,0.00540,LBS,0.0054000000,USING MAG 6.0%
1,SOARBLM00,Soar Bloom Spray                                                                                     ,SO4MOLY,Moly 39.6%                                                                                           ,0.00551,LBS,0.0055100000,
1,SOARBLM00,Soar Bloom Spray                                                                                     ,SO4MOLY,Moly 39.6%                                                                                           ,0.00162,LBS,0.0016200000,W EXTRA MG
1,SOARBLM00,Soar Bloom Spray                                                                                     ,SO4MOLY,Moly 39.6%                                                                                           ,0.00100,LBS,0.0010000000,W EXTRA GLUCO
1,SOARBLM00,Soar Bloom Spray                                                                                     ,SO4MOLY,Moly 39.6%                                                                                           ,0.00504,LBS,0.0050400000,EXTRA HUMIC
1,SOARBLM00,Soar Bloom Spray                                                                                     ,SOARBLM250,Soar Bloom Spray                                                                                     ,1.00000,GAL10.80,1.0000000000,XFER 250 BULK
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,CHECITRIC,Citric Acid                                                                                          ,0.03000,LBS,0.0012960000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,CHECITRIC,Citric Acid                                                                                          ,0.03000,LBS,0.0012960000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,CHECITRIC,Citric Acid                                                                                          ,0.03000,LBS,0.0012410000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,CHECITRIC,Citric Acid                                                                                          ,0.03000,LBS,0.0012960000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,CHECITRIC,Citric Acid                                                                                          ,0.03000,LBS,0.0012960000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,CHECITRIC,Citric Acid                                                                                          ,0.03000,LBS,0.0012960000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,CHECITRIC,Citric Acid                                                                                          ,0.03000,LBS,0.0012960000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,GRPFULVICDRY,Fulvic Acid 75% Dry  DO NOT USE                                                                      ,0.40000,LBS,0.0172800000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,GRPFULVICDRY,Fulvic Acid 75% Dry  DO NOT USE                                                                      ,0.40000,LBS,0.0172800000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,GRPFULVICDRY,Fulvic Acid 75% Dry  DO NOT USE                                                                      ,0.40000,LBS,0.0172800000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,GRPFULVICDRY,Fulvic Acid 75% Dry  DO NOT USE                                                                      ,0.40000,LBS,0.0172800000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,GRPFULVICDRY,Fulvic Acid 75% Dry  DO NOT USE                                                                      ,0.40000,LBS,0.0165440000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,GRPFULVICDRY,Fulvic Acid 75% Dry  DO NOT USE                                                                      ,0.40000,LBS,0.0172800000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,GRPFULVICDRY,Fulvic Acid 75% Dry  DO NOT USE                                                                      ,0.40000,LBS,0.0172800000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,H2OCOLD,Cold Water                                                                                           ,0.57000,LBS,0.0246240000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,H2OCOLD,Cold Water                                                                                           ,0.57000,LBS,0.0246240000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,H2OCOLD,Cold Water                                                                                           ,0.57000,LBS,0.0235750000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,H2OCOLD,Cold Water                                                                                           ,0.57000,LBS,0.0246240000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,H2OCOLD,Cold Water                                                                                           ,0.57000,LBS,0.0246240000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,H2OCOLD,Cold Water                                                                                           ,0.57000,LBS,0.0246240000,
2,GRPFULVIC,Fulvic Acid Liquid 30%                                                                               ,H2OCOLD,Cold Water                                                                                           ,0.57000,LBS,0.0246240000,
2,SOARBLM250,Soar Bloom Spray                                                                                     ,SOARBLM02,Soar Bloom Spray                                                                                     ,1.00000,GAL10.80,1.0000000000,SQUAT TO 250
2,SOARBLM250,Soar Bloom Spray                                                                                     ,ZZ250GAL,250 Gallon IBC                                                                                       ,0.00400,EACH5,0.0040000000,SQUAT TO 250
2,SOARBLM250,Soar Bloom Spray                                                                                     ,ZZ250GAL,250 Gallon IBC                                                                                       ,0.00400,EACH5,0.0040000000,
3,SOARBLM02,Soar Bloom Spray                                                                                     ,SOARBLM30,Soar Bloom Spray                                                                                     ,1.00000,GAL10.80,1.0000000000,30 TO SQUAT
3,SOARBLM02,Soar Bloom Spray                                                                                     ,ZZ2.5GALCASE,2.5 Gallon Case Squat - Box Only                                                                     ,0.20000,EACH5,0.2000000000,30 TO SQUAT
3,SOARBLM02,Soar Bloom Spray                                                                                     ,ZZ2.5GALCASE,2.5 Gallon Case Squat - Box Only                                                                     ,0.20000,EACH5,0.2000000000,
3,SOARBLM02,Soar Bloom Spray                                                                                     ,ZZ2.5GALCASE,2.5 Gallon Case Squat - Box Only                                                                     ,0.20000,EACH5,0.2000000000,XFER 250 TO SQ
3,SOARBLM02,Soar Bloom Spray                                                                                     ,ZZ2.5GALCASEF,Boxes for F-style jugs                                                                               ,0.20000,EACH5,0.2000000000,TALLS
3,SOARBLM02,Soar Bloom Spray                                                                                     ,ZZ2.5GALFFL,2.5 Gallon Squat Solo Jug                                                                            ,0.40000,EACH5,0.4000000000,XFER 250 TO SQ
3,SOARBLM02,Soar Bloom Spray                                                                                     ,ZZ2.5GALFFL,2.5 Gallon Squat Solo Jug                                                                            ,0.40000,EACH5,0.4000000000,
3,SOARBLM02,Soar Bloom Spray                                                                                     ,ZZ2.5GALFFL,2.5 Gallon Squat Solo Jug                                                                            ,0.40000,EACH5,0.4000000000,30 TO SQUAT
3,SOARBLM02,Soar Bloom Spray                                                                                     ,ZZ2.5GALTALL,2.5 Gallon Tall F Solo Jug                                                                           ,0.40000,EACH5,0.4000000000,TALLS
3,SOARBLM02,Soar Bloom Spray                                                                                     ,ZZLIDSVENTED2.5,Vented Lids for 2.5 Gal Jugs                                                                         ,0.40000,EACH5,0.4000000000,TALLS
3,SOARBLM02,Soar Bloom Spray                                                                                     ,ZZLIDSVENTED2.5,Vented Lids for 2.5 Gal Jugs                                                                         ,0.40000,EACH5,0.4000000000,XFER 250 TO SQ
3,SOARBLM02,Soar Bloom Spray                                                                                     ,ZZLIDSVENTED2.5,Vented Lids for 2.5 Gal Jugs                                                                         ,0.40000,EACH5,0.4000000000,30 TO SQUAT
3,SOARBLM02,Soar Bloom Spray                                                                                     ,ZZLIDSVENTED2.5,Vented Lids for 2.5 Gal Jugs                                                                         ,0.40000,EACH5,0.4000000000,
4,SOARBLM30,Soar Bloom Spray                                                                                     ,ZZ30GAL,30 Gallon Drum                                                                                       ,0.03333,EACH5,0.0333300000,
4,SOARBLM30,Soar Bloom Spray                                                                                     ,ZZ30GAL,30 Gallon Drum                                                                                       ,0.03333,EACH5,0.0333300000,XFER 250 30S
4,ZZ2.5GALCASE,2.5 Gallon Case Squat - Box Only                                                                     ,ZZ2.5GAL,2.5 Gallon  Jug Squat/Box Combo DO NOT USE                                                           ,2.00000,EACH5,0.4000000000,
4,ZZ2.5GALCASE,2.5 Gallon Case Squat - Box Only                                                                     ,ZZ2.5GAL,2.5 Gallon  Jug Squat/Box Combo DO NOT USE                                                           ,2.00000,EACH5,0.4000000000,
4,ZZ2.5GALCASE,2.5 Gallon Case Squat - Box Only                                                                     ,ZZ2.5GAL,2.5 Gallon  Jug Squat/Box Combo DO NOT USE                                                           ,2.00000,EACH5,0.4000000000,
4,ZZ2.5GALCASE,2.5 Gallon Case Squat - Box Only                                                                     ,ZZLIDSVENTED2.5,Vented Lids for 2.5 Gal Jugs                                                                         ,2.00000,EACH5,0.4000000000,
4,ZZ2.5GALCASE,2.5 Gallon Case Squat - Box Only                                                                     ,ZZLIDSVENTED2.5,Vented Lids for 2.5 Gal Jugs                                                                         ,2.00000,EACH5,0.4000000000,
4,ZZ2.5GALCASE,2.5 Gallon Case Squat - Box Only                                                                     ,ZZLIDSVENTED2.5,Vented Lids for 2.5 Gal Jugs                                                                         ,2.00000,EACH5,0.4000000000,
