Item,Period,StartDate,EndDate,Sales,Description
FLO003002,January 2023,2023-01-01,2023-01-31,0.0,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             
FLO003002,February 2023,2023-02-01,2023-02-28,275.0,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             
FLO003002,March 2023,2023-03-01,2023-03-31,0.0,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             
FLO003002,April 2023,2023-04-01,2023-04-30,0.0,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             
FLO003002,May 2023,2023-05-01,2023-05-31,0.0,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             
FLO003002,June 2023,2023-06-01,2023-06-30,5.0,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             
FLO003002,July 2023,2023-07-01,2023-07-31,0.0,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             
FLO003002,August 2023,2023-08-01,2023-08-31,195.0,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             
FLO003002,September 2023,2023-09-01,2023-09-30,0.0,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             
FLO003002,October 2023,2023-10-01,2023-10-31,20.0,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             
FLO003002,November 2023,2023-11-01,2023-11-30,180.0,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             
FLO003002,December 2023,2023-12-01,2023-12-31,0.0,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             
FLO003002,Total (January 2023 - December 2023),2023-01-01,2023-12-31,675.0,Dyna Flo 0-0-30 / Threshold 0-0-30 / Potash Plus / Max Stress Relefe / LiquiLizer 0-0-30             
